,Population,swimming school,gym / fitness,football field,rink,baseball field,hockey field,badminton court,ski tracking,tennis court,athletics stadium,volleyball court,basketball court,sport club,total_sports,Crime_Rate
0,248431,0.0,0.12075787643249031,0.01610105019099871,0.0,0.01610105019099871,0.0,0.0,0.004025262547749677,0.004025262547749677,0.0,0.0,0.008050525095499354,0.008050525095499354,0.17711155210098578,6217.0199999999995
1,296188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6640.04
2,242090,0.02891486637201041,0.4130695196001487,0.004130695196001487,0.020653475980007434,0.0950059895080342,0.0,0.0,0.05782973274402082,0.037176256764013385,0.037176256764013385,0.012392085588004462,0.07022181833202527,0.012392085588004462,0.788962782436284,1483.75
3,249273,0.004011665924508471,0.1484316392068134,0.016046663698033883,0.0,0.07622165256566095,0.0,0.0,0.016046663698033883,0.020058329622542354,0.016046663698033883,0.004011665924508471,0.024069995547050825,0.008023331849016942,0.33296827173420307,5037.85
4,492268,0.006094241348208699,0.2031413782736233,0.012188482696417398,0.004062827565472466,0.06906806861303193,0.004062827565472466,0.0,0.028439792958307262,0.022345551610098564,0.02031413782736233,0.02031413782736233,0.04875393078566959,0.008125655130944933,0.44691103220197126,2592.49
5,251840,0.007941550190597205,0.3970775095298602,0.01588310038119441,0.0039707750952986025,0.16280177890724268,0.007941550190597205,0.0,0.1389771283354511,0.05162007623888183,0.03176620076238882,0.023824650571791613,0.03573697585768742,0.023824650571791613,0.9013659466327827,2338.38
6,353400,0.0028296547821165816,0.28296547821165813,0.039615166949632144,0.014148273910582907,0.18109790605546122,0.005659309564233163,0.0028296547821165816,0.07640067911714771,0.033955857385398976,0.05659309564233163,0.008488964346349744,0.05376344086021505,0.005659309564233163,0.764006791171477,2997.74
7,381154,0.0,0.2203833621056056,0.010494445814552647,0.010494445814552647,0.01311805726819081,0.002623611453638162,0.0,0.002623611453638162,0.015741668721828972,0.03935417180457243,0.002623611453638162,0.01311805726819081,0.010494445814552647,0.3410694889729611,4618.34
8,271109,0.0036885533125053027,0.2766414984378977,0.033196979812547725,0.0036885533125053027,0.11434515268766438,0.0,0.0,0.04426263975006363,0.01475421325002121,0.011065659937515907,0.011065659937515907,0.05532829968757954,0.01475421325002121,0.5827914233758378,1738.79
9,236368,0.01692276450280918,0.4230691125702295,0.04230691125702295,0.01692276450280918,0.07192174913693901,0.0,0.0,0.05922967575983213,0.029614837879916065,0.029614837879916065,0.004230691125702295,0.046537602382725245,0.01692276450280918,0.7572937115007108,2343.8
10,276115,0.018108396863625663,0.36216793727251323,0.06156854933632725,0.007243358745450265,0.12675877804537963,0.0,0.0,0.11227206055447911,0.11227206055447911,0.05432519059087699,0.021730076236350794,0.10502870180902885,0.02897343498180106,1.010448544990312,1381.31
11,471397,0.006364062562977703,0.21213541876592343,0.01909218768893311,0.012728125125955406,0.046669792128503154,0.0,0.0,0.012728125125955406,0.042427083753184686,0.021213541876592343,0.012728125125955406,0.031820312814888514,0.01484947931361464,0.43275625428248377,3357.25
12,424915,0.0047068237176847135,0.23534118588423567,0.03530117788263535,0.0047068237176847135,0.08707623877716719,0.0,0.0023534118588423567,0.08707623877716719,0.05648188461221656,0.03765458974147771,0.00706023557652707,0.07530917948295542,0.0047068237176847135,0.6377746137462786,7328.29
13,328023,0.0,0.22864250372687278,0.012194266865433215,0.006097133432716608,0.04572850074537456,0.0,0.0,0.01524283358179152,0.012194266865433215,0.027437100447224735,0.0,0.027437100447224735,0.006097133432716608,0.381070839544788,3589.38
14,499997,0.004000024000144001,0.20000120000720004,0.030000180001080005,0.006000036000216001,0.04800028800172801,0.0,0.0,0.028000168001008005,0.026000156000936005,0.026000156000936005,0.004000024000144001,0.028000168001008005,0.024000144000864004,0.4240025440152641,3654.02
15,217259,0.0,0.303784883480086,0.023014006324248937,0.004602801264849787,0.04142521138364808,0.0,0.0,0.01841120505939915,0.023014006324248937,0.013808403794549362,0.004602801264849787,0.046028012648497874,0.004602801264849787,0.4832941328092277,5189.66
16,335699,0.017873154224468942,0.29788590374114904,0.04766174459858385,0.011915436149645962,0.157879528982809,0.0029788590374114905,0.0029788590374114905,0.07745033497269875,0.05064060363599534,0.0625560397856413,0.023830872299291924,0.05957718074822981,0.020852013261880433,0.8340805304752174,2596.67
17,216350,0.004622140050843541,0.46221400508435406,0.023110700254217704,0.004622140050843541,0.023110700254217704,0.0,0.0,0.04622140050843541,0.04622140050843541,0.027732840305061245,0.018488560203374162,0.018488560203374162,0.013866420152530623,0.6886988675756875,1592.79
18,309566,0.0,0.1712074323407609,0.0,0.0032303289120898288,0.022612302384628802,0.0,0.0,0.0064606578241796575,0.0064606578241796575,0.019381973472538973,0.0,0.01615164456044914,0.0064606578241796575,0.2519656551430066,5109.089999999999
19,368018,0.005434516789939622,0.2717258394969811,0.054345167899396224,0.010869033579879244,0.054345167899396224,0.0,0.0,0.043476134319516975,0.019020808764788677,0.016303550369818866,0.005434516789939622,0.008151775184909433,0.010869033579879244,0.4999755446744452,3630.5299999999997
20,472958,0.0042287052972991256,0.21143526486495628,0.008457410594598251,0.0042287052972991256,0.016914821189196502,0.0,0.0021143526486495628,0.10360327978382858,0.008457410594598251,0.008457410594598251,0.0042287052972991256,0.008457410594598251,0.0042287052972991256,0.38481218205422046,3765.2500000000005
21,238260,0.0,0.41970956098379925,0.07554772097708386,0.0,0.046168051708217916,0.0,0.0,0.020985478049189963,0.041970956098379926,0.029379669268865947,0.012591286829513977,0.058759338537731895,0.008394191219675984,0.7135062536724587,2422.1400000000003
22,463009,0.004319570461913267,0.21597852309566337,0.04967506031200257,0.004319570461913267,0.03023699323339287,0.0,0.0,0.023757637540522968,0.08639140923826534,0.028077208002436238,0.012958711385739802,0.0453554898500893,0.019438067078609702,0.5205082406605487,4750.89
23,283982,0.007042699889429611,0.35213499447148056,0.07042699889429611,0.014085399778859222,0.10211914839672936,0.0,0.0035213499447148055,0.08803374861787014,0.0633842990048665,0.021128099668288835,0.014085399778859222,0.04577754928129247,0.024649449613003638,0.8063891373396904,6206.379999999999
24,263712,0.0,0.37920155320956195,0.034128139788860576,0.0037920155320956194,0.1137604659628686,0.0,0.0,0.06825627957772115,0.037920155320956196,0.018960077660478098,0.018960077660478098,0.037920155320956196,0.01137604659628686,0.7242749666302634,5029.349999999999
25,384360,0.007805182641273806,0.2601727547091269,0.01821209282963888,0.013008637735456343,0.10406910188365075,0.0026017275470912684,0.0,0.031220730565095223,0.020813820376730147,0.031220730565095223,0.007805182641273806,0.028619003018003953,0.015610365282547611,0.5411593297949838,2218.2400000000002
26,481343,0.008310082415242353,0.2077520603810588,0.03324032966096941,0.014542644226674117,0.0685581799257494,0.0,0.0,0.10803107139815059,0.09348842717147647,0.04986049449145412,0.01246512362286353,0.04155041207621176,0.02493024724572706,0.6627290726155777,5727.52
27,242941,0.0,0.3622278660250843,0.020581128751425242,0.012348677250855146,0.03292980600228039,0.0,0.0,0.012348677250855146,0.020581128751425242,0.020581128751425242,0.0,0.012348677250855146,0.008232451500570098,0.502179541534776,3901.3599999999997
